MaGiaoDich,NgayThanhToan,ThangThanhToan,DoTuoiThiSinh,TenChungChi,LinhVuc,GiaGoc,PhanTramGiamGia,DoanhThuThucTe,PhuongThucThanhToan,NgayThi,DiemThi,TrangThaiThi
HD00209,2023-04-13,2023-04,19,TOEIC,Ngoại Ngữ,1200000,0,1200000,Chuyển khoản,2023-05-04,505,Không đạt
HD00275,2023-04-13,2023-04,20,TOEIC,Ngoại Ngữ,1200000,0,1200000,Momo,2023-04-27,515,Không đạt
HD00577,2023-04-13,2023-04,18,IELTS,Ngoại Ngữ,4500000,0,4500000,VNPay,2023-05-12,6.5,Đạt
HD00150,2023-04-14,2023-04,18,VSTEP,Ngoại Ngữ,1800000,0,1800000,Tiền mặt,2023-05-13,2.8,Không đạt
HD00068,2023-04-15,2023-04,23,MOS Word,Tin Học,850000,0,850000,Chuyển khoản,2023-04-30,967,Đạt
HD00422,2023-04-15,2023-04,19,TOEIC,Ngoại Ngữ,1200000,0.1,1080000.0,Tiền mặt,2023-05-08,740,Đạt
HD00451,2023-04-15,2023-04,25,TOEIC,Ngoại Ngữ,1200000,0.2,960000.0,Tiền mặt,2023-05-12,545,Không đạt
HD01370,2023-04-15,2023-04,25,IELTS,Ngoại Ngữ,4500000,0,4500000,Chuyển khoản,2023-04-29,5.5,Đạt
HD00426,2023-04-16,2023-04,20,MOS Word,Tin Học,850000,0.15,722500.0,VNPay,2023-05-06,763,Đạt
HD00522,2023-04-16,2023-04,22,TOEIC,Ngoại Ngữ,1200000,0,1200000,Tiền mặt,2023-05-12,680,Đạt
HD01114,2023-04-16,2023-04,17,TOEIC,Ngoại Ngữ,1200000,0.1,1080000.0,Momo,2023-05-09,465,Không đạt
HD00763,2023-04-17,2023-04,22,TOEIC,Ngoại Ngữ,1200000,0.1,1080000.0,Chuyển khoản,2023-05-02,990,Đạt
HD01255,2023-04-17,2023-04,24,MOS Excel,Tin Học,850000,0.1,765000.0,VNPay,2023-05-06,917,Đạt
HD01406,2023-04-17,2023-04,24,IELTS,Ngoại Ngữ,4500000,0.2,3600000.0,Momo,2023-05-13,8.0,Đạt
HD00669,2023-04-18,2023-04,25,IELTS,Ngoại Ngữ,4500000,0,4500000,Tiền mặt,2023-05-14,6.0,Đạt
HD00823,2023-04-18,2023-04,26,IC3,Tin Học,750000,0,750000,Chuyển khoản,2023-05-15,642,Không đạt
HD01476,2023-04-18,2023-04,23,VSTEP,Ngoại Ngữ,1800000,0,1800000,VNPay,2023-05-04,5.3,Đạt
HD00162,2023-04-19,2023-04,23,TOEIC,Ngoại Ngữ,1200000,0,1200000,Chuyển khoản,2023-05-17,535,Không đạt
HD00450,2023-04-19,2023-04,25,TOEIC,Ngoại Ngữ,1200000,0.1,1080000.0,Tiền mặt,2023-05-12,805,Đạt
HD00617,2023-04-19,2023-04,25,MOS Excel,Tin Học,850000,0,850000,Chuyển khoản,2023-05-05,919,Đạt
HD01256,2023-04-19,2023-04,22,IELTS,Ngoại Ngữ,4500000,0,4500000,VNPay,2023-05-17,5.5,Đạt
HD01355,2023-04-19,2023-04,22,TOEIC,Ngoại Ngữ,1200000,0,1200000,Chuyển khoản,2023-05-17,640,Đạt
HD01358,2023-04-19,2023-04,22,TOEIC,Ngoại Ngữ,1200000,0.2,960000.0,Momo,2023-05-15,590,Đạt
HD01087,2023-04-20,2023-04,15,TOEIC,Ngoại Ngữ,1200000,0,1200000,VNPay,2023-05-20,785,Đạt
HD01046,2023-04-21,2023-04,22,IELTS,Ngoại Ngữ,4500000,0,4500000,VNPay,2023-05-15,7.0,Đạt
HD01429,2023-04-21,2023-04,29,MOS Word,Tin Học,850000,0,850000,Momo,2023-05-15,871,Đạt
HD00134,2023-04-22,2023-04,15,IELTS,Ngoại Ngữ,4500000,0,4500000,Momo,2023-05-15,5.0,Đạt
HD00951,2023-04-22,2023-04,15,IELTS,Ngoại Ngữ,4500000,0,4500000,Momo,2023-05-19,5.0,Đạt
HD00405,2023-04-23,2023-04,25,TOEIC,Ngoại Ngữ,1200000,0.2,960000.0,Chuyển khoản,2023-05-19,655,Đạt
HD00542,2023-04-23,2023-04,26,TOEIC,Ngoại Ngữ,1200000,0.2,960000.0,VNPay,2023-05-18,450,Không đạt
HD00047,2023-04-24,2023-04,21,TOEIC,Ngoại Ngữ,1200000,0,1200000,Chuyển khoản,2023-05-24,545,Không đạt
HD01124,2023-04-24,2023-04,24,VSTEP,Ngoại Ngữ,1800000,0.1,1620000.0,Momo,2023-05-19,2.8,Không đạt
HD01288,2023-04-24,2023-04,22,IC3,Tin Học,750000,0,750000,Momo,2023-05-13,897,Đạt
HD01421,2023-04-24,2023-04,25,IELTS,Ngoại Ngữ,4500000,0.15,3825000.0,VNPay,2023-05-14,6.0,Đạt
HD00500,2023-04-25,2023-04,26,MOS Excel,Tin Học,850000,0,850000,Tiền mặt,2023-05-12,617,Không đạt
HD00744,2023-04-25,2023-04,20,TOEIC,Ngoại Ngữ,1200000,0,1200000,VNPay,2023-05-11,680,Đạt
HD01002,2023-04-25,2023-04,22,TOEIC,Ngoại Ngữ,1200000,0,1200000,Momo,2023-05-09,700,Đạt
HD01382,2023-04-25,2023-04,19,TOEIC,Ngoại Ngữ,1200000,0,1200000,Chuyển khoản,2023-05-25,520,Không đạt
HD01364,2023-04-26,2023-04,19,IELTS,Ngoại Ngữ,4500000,0,4500000,Momo,2023-05-10,4.5,Không đạt
HD01424,2023-04-26,2023-04,23,TOEIC,Ngoại Ngữ,1200000,0,1200000,Momo,2023-05-14,520,Không đạt
HD00472,2023-04-27,2023-04,16,MOS Excel,Tin Học,850000,0.1,765000.0,Momo,2023-05-19,703,Đạt
HD00212,2023-04-29,2023-04,20,TOEIC,Ngoại Ngữ,1200000,0,1200000,Chuyển khoản,2023-05-27,605,Đạt
HD00804,2023-04-29,2023-04,21,IELTS,Ngoại Ngữ,4500000,0,4500000,Momo,2023-05-13,5.0,Đạt
HD01443,2023-04-29,2023-04,19,MOS Excel,Tin Học,850000,0.1,765000.0,Chuyển khoản,2023-05-23,854,Đạt
HD00198,2023-04-30,2023-04,20,IELTS,Ngoại Ngữ,4500000,0,4500000,Chuyển khoản,2023-05-18,5.0,Đạt
HD00354,2023-05-01,2023-05,29,TOEIC,Ngoại Ngữ,1200000,0.15,1020000.0,Momo,2023-05-27,650,Đạt
HD01006,2023-05-01,2023-05,23,TOEIC,Ngoại Ngữ,1200000,0,1200000,Momo,2023-05-27,660,Đạt
HD01398,2023-05-01,2023-05,22,IC3,Tin Học,750000,0,750000,Chuyển khoản,2023-05-23,768,Đạt
HD00714,2023-05-02,2023-05,25,TOEIC,Ngoại Ngữ,1200000,0,1200000,Chuyển khoản,2023-05-30,770,Đạt
HD00853,2023-05-02,2023-05,21,IELTS,Ngoại Ngữ,4500000,0,4500000,Chuyển khoản,2023-06-01,6.0,Đạt
HD00679,2023-05-03,2023-05,29,IELTS,Ngoại Ngữ,4500000,0,4500000,Chuyển khoản,2023-05-23,6.5,Đạt
HD01383,2023-05-03,2023-05,19,MOS Excel,Tin Học,850000,0,850000,Tiền mặt,2023-05-20,848,Đạt
HD00213,2023-05-04,2023-05,24,TOEIC,Ngoại Ngữ,1200000,0,1200000,Chuyển khoản,2023-06-01,665,Đạt
HD01037,2023-05-04,2023-05,19,VSTEP,Ngoại Ngữ,1800000,0.2,1440000.0,Momo,2023-05-19,4.2,Đạt
HD01405,2023-05-04,2023-05,16,IELTS,Ngoại Ngữ,4500000,0,4500000,Tiền mặt,2023-06-03,5.5,Đạt
HD01420,2023-05-04,2023-05,20,MOS Word,Tin Học,850000,0.2,680000.0,VNPay,2023-05-29,672,Không đạt
HD01022,2023-05-05,2023-05,24,IELTS,Ngoại Ngữ,4500000,0,4500000,VNPay,2023-05-24,5.0,Đạt
HD01107,2023-05-05,2023-05,20,TOEIC,Ngoại Ngữ,1200000,0.15,1020000.0,Momo,2023-06-03,710,Đạt
HD01433,2023-05-05,2023-05,21,IELTS,Ngoại Ngữ,4500000,0,4500000,Tiền mặt,2023-05-19,5.5,Đạt
HD00148,2023-05-06,2023-05,23,MOS Word,Tin Học,850000,0.2,680000.0,Tiền mặt,2023-06-04,762,Đạt
HD00153,2023-05-06,2023-05,23,MOS Word,Tin Học,850000,0,850000,Tiền mặt,2023-05-22,812,Đạt
HD00501,2023-05-06,2023-05,23,TOEIC,Ngoại Ngữ,1200000,0,1200000,Tiền mặt,2023-05-25,500,Không đạt
HD00797,2023-05-06,2023-05,17,IC3,Tin Học,750000,0,750000,Chuyển khoản,2023-05-21,524,Không đạt
HD00666,2023-05-07,2023-05,19,MOS Excel,Tin Học,850000,0,850000,Tiền mặt,2023-05-28,728,Đạt
HD00708,2023-05-07,2023-05,29,TOEIC,Ngoại Ngữ,1200000,0,1200000,Tiền mặt,2023-06-03,410,Không đạt
HD01207,2023-05-07,2023-05,20,VSTEP,Ngoại Ngữ,1800000,0.1,1620000.0,Chuyển khoản,2023-05-29,2.2,Không đạt
HD01328,2023-05-07,2023-05,19,VSTEP,Ngoại Ngữ,1800000,0,1800000,Momo,2023-05-22,7.9,Đạt
HD01367,2023-05-07,2023-05,17,MOS Word,Tin Học,850000,0.1,765000.0,VNPay,2023-06-04,694,Không đạt
HD01375,2023-05-07,2023-05,19,TOEIC,Ngoại Ngữ,1200000,0.2,960000.0,VNPay,2023-05-27,680,Đạt
HD00386,2023-05-08,2023-05,24,IELTS,Ngoại Ngữ,4500000,0,4500000,Chuyển khoản,2023-06-01,7.0,Đạt
HD00726,2023-05-08,2023-05,16,MOS Word,Tin Học,850000,0.1,765000.0,Tiền mặt,2023-06-05,601,Không đạt
HD00367,2023-05-12,2023-05,18,TOEIC,Ngoại Ngữ,1200000,0,1200000,Momo,2023-05-28,445,Không đạt
HD00730,2023-05-12,2023-05,23,TOEIC,Ngoại Ngữ,1200000,0.2,960000.0,Tiền mặt,2023-06-09,535,Không đạt
HD00865,2023-05-12,2023-05,23,MOS Excel,Tin Học,850000,0.2,680000.0,Tiền mặt,2023-06-03,739,Đạt
HD01208,2023-05-12,2023-05,22,TOEIC,Ngoại Ngữ,1200000,0,1200000,Chuyển khoản,2023-06-07,345,Không đạt
HD00463,2023-05-13,2023-05,21,IELTS,Ngoại Ngữ,4500000,0,4500000,VNPay,2023-06-09,6.0,Đạt
HD00496,2023-05-14,2023-05,25,TOEIC,Ngoại Ngữ,1200000,0.15,1020000.0,Chuyển khoản,2023-05-28,550,Đạt
HD00761,2023-05-14,2023-05,26,MOS Word,Tin Học,850000,0,850000,Tiền mặt,2023-06-04,841,Đạt
HD00130,2023-05-15,2023-05,31,IC3,Tin Học,750000,0,750000,Tiền mặt,2023-06-04,532,Không đạt
HD00695,2023-05-16,2023-05,15,MOS Word,Tin Học,850000,0,850000,Chuyển khoản,2023-06-11,801,Đạt
HD01056,2023-05-16,2023-05,21,TOEIC,Ngoại Ngữ,1200000,0,1200000,Tiền mặt,2023-06-07,625,Đạt
HD01186,2023-05-16,2023-05,26,MOS Excel,Tin Học,850000,0.2,680000.0,Tiền mặt,2023-06-02,768,Đạt
HD01315,2023-05-16,2023-05,18,MOS Word,Tin Học,850000,0,850000,Chuyển khoản,2023-06-05,755,Đạt
HD00383,2023-05-17,2023-05,25,IC3,Tin Học,750000,0.2,600000.0,Tiền mặt,2023-06-02,830,Đạt
HD01468,2023-05-17,2023-05,21,TOEIC,Ngoại Ngữ,1200000,0,1200000,Tiền mặt,2023-06-09,705,Đạt
HD00062,2023-05-18,2023-05,16,IELTS,Ngoại Ngữ,4500000,0.15,3825000.0,Tiền mặt,2023-06-04,4.5,Không đạt
HD01435,2023-05-18,2023-05,16,IELTS,Ngoại Ngữ,4500000,0,4500000,Chuyển khoản,2023-06-13,5.0,Đạt
HD00364,2023-05-19,2023-05,20,IC3,Tin Học,750000,0.1,675000.0,Tiền mặt,2023-06-16,769,Đạt
HD00032,2023-05-20,2023-05,22,IELTS,Ngoại Ngữ,4500000,0,4500000,Momo,2023-06-14,7.0,Đạt
HD00495,2023-05-20,2023-05,19,TOEIC,Ngoại Ngữ,1200000,0,1200000,Tiền mặt,2023-06-08,425,Không đạt
HD00747,2023-05-20,2023-05,21,TOEIC,Ngoại Ngữ,1200000,0,1200000,Momo,2023-06-17,670,Đạt
HD01379,2023-05-20,2023-05,19,IELTS,Ngoại Ngữ,4500000,0.15,3825000.0,VNPay,2023-06-12,5.5,Đạt
HD00664,2023-05-21,2023-05,17,MOS Excel,Tin Học,850000,0.15,722500.0,VNPay,2023-06-20,870,Đạt
HD01466,2023-05-21,2023-05,21,TOEIC,Ngoại Ngữ,1200000,0,1200000,Tiền mặt,2023-06-12,630,Đạt
HD00101,2023-05-22,2023-05,23,TOEIC,Ngoại Ngữ,1200000,0.15,1020000.0,Momo,2023-06-08,440,Không đạt
HD00931,2023-05-22,2023-05,21,IELTS,Ngoại Ngữ,4500000,0,4500000,Chuyển khoản,2023-06-15,6.5,Đạt
HD01336,2023-05-22,2023-05,23,TOEIC,Ngoại Ngữ,1200000,0,1200000,VNPay,2023-06-20,565,Đạt
HD00084,2023-05-23,2023-05,24,IC3,Tin Học,750000,0,750000,Tiền mặt,2023-06-08,864,Đạt
HD00140,2023-05-24,2023-05,26,IELTS,Ngoại Ngữ,4500000,0.15,3825000.0,Chuyển khoản,2023-06-16,6.0,Đạt
HD00854,2023-05-25,2023-05,27,MOS Word,Tin Học,850000,0,850000,Chuyển khoản,2023-06-09,756,Đạt
HD00135,2023-05-26,2023-05,24,MOS Excel,Tin Học,850000,0,850000,Tiền mặt,2023-06-09,759,Đạt
HD00513,2023-05-26,2023-05,30,TOEIC,Ngoại Ngữ,1200000,0.15,1020000.0,Tiền mặt,2023-06-09,630,Đạt
HD00959,2023-05-26,2023-05,21,IELTS,Ngoại Ngữ,4500000,0,4500000,Tiền mặt,2023-06-12,5.0,Đạt
HD01033,2023-05-26,2023-05,22,VSTEP,Ngoại Ngữ,1800000,0,1800000,Tiền mặt,2023-06-13,6.2,Đạt
HD01070,2023-05-26,2023-05,16,IC3,Tin Học,750000,0,750000,Tiền mặt,2023-06-21,888,Đạt
HD01171,2023-05-28,2023-05,24,IC3,Tin Học,750000,0.15,637500.0,Tiền mặt,2023-06-21,739,Đạt
HD01454,2023-05-29,2023-05,25,TOEIC,Ngoại Ngữ,1200000,0,1200000,Tiền mặt,2023-06-22,425,Không đạt
HD00223,2023-05-30,2023-05,15,IELTS,Ngoại Ngữ,4500000,0.1,4050000.0,Momo,2023-06-19,5.0,Đạt
HD00225,2023-05-30,2023-05,24,TOEIC,Ngoại Ngữ,1200000,0,1200000,Momo,2023-06-25,330,Không đạt
HD00568,2023-05-30,2023-05,24,MOS Excel,Tin Học,850000,0,850000,VNPay,2023-06-16,576,Không đạt
HD00672,2023-05-30,2023-05,18,TOEIC,Ngoại Ngữ,1200000,0,1200000,VNPay,2023-06-19,675,Đạt
HD01348,2023-05-30,2023-05,25,VSTEP,Ngoại Ngữ,1800000,0,1800000,Tiền mặt,2023-06-13,5.2,Đạt
HD00055,2023-05-31,2023-05,19,TOEIC,Ngoại Ngữ,1200000,0,1200000,Momo,2023-06-23,330,Không đạt
HD00658,2023-05-31,2023-05,15,TOEIC,Ngoại Ngữ,1200000,0.1,1080000.0,Chuyển khoản,2023-06-17,545,Không đạt
HD01437,2023-05-31,2023-05,23,MOS Excel,Tin Học,850000,0,850000,VNPay,2023-06-23,852,Đạt
HD00271,2023-06-01,2023-06,20,IELTS,Ngoại Ngữ,4500000,0,4500000,Tiền mặt,2023-06-21,6.0,Đạt
HD00427,2023-06-01,2023-06,22,IELTS,Ngoại Ngữ,4500000,0,4500000,Momo,2023-06-26,7.5,Đạt
HD01233,2023-06-01,2023-06,27,MOS Word,Tin Học,850000,0.1,765000.0,VNPay,2023-06-26,764,Đạt
HD00299,2023-06-03,2023-06,20,VSTEP,Ngoại Ngữ,1800000,0.15,1530000.0,Chuyển khoản,2023-06-26,3.1,Không đạt
HD01324,2023-06-03,2023-06,15,MOS Word,Tin Học,850000,0.15,722500.0,Chuyển khoản,2023-06-25,1000,Đạt
HD01389,2023-06-03,2023-06,19,IELTS,Ngoại Ngữ,4500000,0.1,4050000.0,VNPay,2023-07-02,5.5,Đạt
HD01445,2023-06-03,2023-06,18,TOEIC,Ngoại Ngữ,1200000,0,1200000,Chuyển khoản,2023-06-27,380,Không đạt
HD00743,2023-06-04,2023-06,19,TOEIC,Ngoại Ngữ,1200000,0.1,1080000.0,VNPay,2023-06-23,345,Không đạt
HD00753,2023-06-04,2023-06,20,IELTS,Ngoại Ngữ,4500000,0,4500000,VNPay,2023-06-22,6.5,Đạt
HD00994,2023-06-04,2023-06,16,IELTS,Ngoại Ngữ,4500000,0,4500000,Chuyển khoản,2023-06-22,5.5,Đạt
HD01136,2023-06-04,2023-06,24,VSTEP,Ngoại Ngữ,1800000,0.15,1530000.0,VNPay,2023-06-27,8.6,Đạt
HD00974,2023-06-05,2023-06,28,IELTS,Ngoại Ngữ,4500000,0,4500000,Momo,2023-06-25,4.5,Không đạt
HD00983,2023-06-05,2023-06,19,IELTS,Ngoại Ngữ,4500000,0,4500000,Momo,2023-06-24,5.0,Đạt
HD00091,2023-06-07,2023-06,29,IELTS,Ngoại Ngữ,4500000,0,4500000,Tiền mặt,2023-07-05,5.5,Đạt
HD00378,2023-06-07,2023-06,24,MOS Word,Tin Học,850000,0,850000,Momo,2023-06-26,712,Đạt
HD00662,2023-06-07,2023-06,17,IC3,Tin Học,750000,0,750000,Momo,2023-06-22,848,Đạt
HD00174,2023-06-08,2023-06,23,MOS Word,Tin Học,850000,0.15,722500.0,VNPay,2023-07-01,844,Đạt
HD00411,2023-06-08,2023-06,23,IELTS,Ngoại Ngữ,4500000,0.15,3825000.0,VNPay,2023-06-23,6.0,Đạt
HD00774,2023-06-09,2023-06,21,VSTEP,Ngoại Ngữ,1800000,0,1800000,VNPay,2023-06-30,8.7,Đạt
HD00933,2023-06-09,2023-06,21,IC3,Tin Học,750000,0.1,675000.0,Momo,2023-06-29,795,Đạt
HD01300,2023-06-09,2023-06,16,IELTS,Ngoại Ngữ,4500000,0.15,3825000.0,Momo,2023-07-04,5.5,Đạt
HD01322,2023-06-09,2023-06,21,TOEIC,Ngoại Ngữ,1200000,0.2,960000.0,Tiền mặt,2023-07-08,585,Đạt
HD01485,2023-06-09,2023-06,19,TOEIC,Ngoại Ngữ,1200000,0.2,960000.0,Tiền mặt,2023-06-24,735,Đạt
HD00996,2023-06-10,2023-06,17,IELTS,Ngoại Ngữ,4500000,0,4500000,Momo,2023-06-24,6.5,Đạt
HD01028,2023-06-10,2023-06,22,VSTEP,Ngoại Ngữ,1800000,0,1800000,Chuyển khoản,2023-07-07,5.1,Đạt
HD01239,2023-06-10,2023-06,19,TOEIC,Ngoại Ngữ,1200000,0.15,1020000.0,Momo,2023-06-29,750,Đạt
HD00133,2023-06-11,2023-06,15,IELTS,Ngoại Ngữ,4500000,0,4500000,Momo,2023-07-06,5.0,Đạt
HD01262,2023-06-11,2023-06,26,IELTS,Ngoại Ngữ,4500000,0.15,3825000.0,Tiền mặt,2023-07-07,7.5,Đạt
HD00821,2023-06-12,2023-06,21,IC3,Tin Học,750000,0,750000,Tiền mặt,2023-07-01,773,Đạt
HD00814,2023-06-13,2023-06,25,IELTS,Ngoại Ngữ,4500000,0,4500000,Momo,2023-07-10,6.0,Đạt
HD01016,2023-06-13,2023-06,18,TOEIC,Ngoại Ngữ,1200000,0,1200000,Chuyển khoản,2023-06-27,420,Không đạt
HD00259,2023-06-14,2023-06,25,IELTS,Ngoại Ngữ,4500000,0.15,3825000.0,Tiền mặt,2023-07-07,6.5,Đạt
HD01465,2023-06-14,2023-06,22,TOEIC,Ngoại Ngữ,1200000,0.15,1020000.0,Tiền mặt,2023-07-06,665,Đạt
HD00877,2023-06-15,2023-06,21,IC3,Tin Học,750000,0.2,600000.0,Tiền mặt,2023-07-13,918,Đạt
HD00371,2023-06-16,2023-06,16,IELTS,Ngoại Ngữ,4500000,0.2,3600000.0,Chuyển khoản,2023-07-12,5.0,Đạt
HD00830,2023-06-17,2023-06,21,IELTS,Ngoại Ngữ,4500000,0,4500000,Momo,2023-07-15,6.0,Đạt
HD00919,2023-06-17,2023-06,24,TOEIC,Ngoại Ngữ,1200000,0,1200000,Tiền mặt,2023-07-06,350,Không đạt
HD01446,2023-06-17,2023-06,24,TOEIC,Ngoại Ngữ,1200000,0.15,1020000.0,Chuyển khoản,2023-07-03,495,Không đạt
HD01044,2023-06-18,2023-06,16,TOEIC,Ngoại Ngữ,1200000,0,1200000,Momo,2023-07-09,690,Đạt
HD01390,2023-06-18,2023-06,24,VSTEP,Ngoại Ngữ,1800000,0,1800000,Chuyển khoản,2023-07-15,2.4,Không đạt
HD00688,2023-06-19,2023-06,22,TOEIC,Ngoại Ngữ,1200000,0.1,1080000.0,Chuyển khoản,2023-07-12,920,Đạt
HD01408,2023-06-19,2023-06,16,IELTS,Ngoại Ngữ,4500000,0,4500000,Tiền mặt,2023-07-11,7.0,Đạt
HD00539,2023-06-20,2023-06,27,IELTS,Ngoại Ngữ,4500000,0.15,3825000.0,Tiền mặt,2023-07-15,6.0,Đạt
HD00218,2023-06-21,2023-06,22,IELTS,Ngoại Ngữ,4500000,0,4500000,VNPay,2023-07-11,7.0,Đạt
HD00249,2023-06-22,2023-06,19,VSTEP,Ngoại Ngữ,1800000,0.1,1620000.0,Tiền mặt,2023-07-20,6.5,Đạt
HD01444,2023-06-22,2023-06,15,IELTS,Ngoại Ngữ,4500000,0,4500000,Chuyển khoản,2023-07-21,7.5,Đạt
HD00659,2023-06-23,2023-06,15,TOEIC,Ngoại Ngữ,1200000,0,1200000,Chuyển khoản,2023-07-12,770,Đạt
HD01341,2023-06-23,2023-06,25,MOS Word,Tin Học,850000,0,850000,Momo,2023-07-10,790,Đạt
HD00421,2023-06-25,2023-06,31,MOS Excel,Tin Học,850000,0,850000,Chuyển khoản,2023-07-21,751,Đạt
HD01135,2023-06-25,2023-06,20,TOEIC,Ngoại Ngữ,1200000,0.2,960000.0,VNPay,2023-07-09,740,Đạt
HD01170,2023-06-25,2023-06,24,TOEIC,Ngoại Ngữ,1200000,0.1,1080000.0,VNPay,2023-07-12,515,Không đạt
HD00869,2023-06-26,2023-06,27,TOEIC,Ngoại Ngữ,1200000,0.2,960000.0,VNPay,2023-07-23,430,Không đạt
HD01014,2023-06-28,2023-06,21,MOS Excel,Tin Học,850000,0.2,680000.0,Momo,2023-07-13,878,Đạt
HD01489,2023-06-28,2023-06,17,TOEIC,Ngoại Ngữ,1200000,0,1200000,Momo,2023-07-28,360,Không đạt
HD00571,2023-06-29,2023-06,16,IELTS,Ngoại Ngữ,4500000,0.15,3825000.0,Momo,2023-07-14,6.5,Đạt
HD01153,2023-06-29,2023-06,24,IELTS,Ngoại Ngữ,4500000,0.2,3600000.0,Chuyển khoản,2023-07-17,5.5,Đạt
HD01388,2023-06-29,2023-06,21,MOS Excel,Tin Học,850000,0.15,722500.0,Momo,2023-07-21,865,Đạt
HD00105,2023-06-30,2023-06,32,IELTS,Ngoại Ngữ,4500000,0,4500000,Tiền mặt,2023-07-16,6.5,Đạt
HD00264,2023-06-30,2023-06,24,TOEIC,Ngoại Ngữ,1200000,0.2,960000.0,Momo,2023-07-19,160,Không đạt
HD00939,2023-06-30,2023-06,25,IELTS,Ngoại Ngữ,4500000,0.2,3600000.0,VNPay,2023-07-28,8.0,Đạt
HD01500,2023-06-30,2023-06,21,TOEIC,Ngoại Ngữ,1200000,0.15,1020000.0,Momo,2023-07-26,690,Đạt
HD00139,2023-07-01,2023-07,20,TOEIC,Ngoại Ngữ,1200000,0,1200000,Chuyển khoản,2023-07-28,480,Không đạt
HD00308,2023-07-01,2023-07,25,IELTS,Ngoại Ngữ,4500000,0.1,4050000.0,Chuyển khoản,2023-07-16,8.0,Đạt
HD00361,2023-07-01,2023-07,16,IELTS,Ngoại Ngữ,4500000,0.1,4050000.0,VNPay,2023-07-20,5.5,Đạt
HD00822,2023-07-01,2023-07,17,IELTS,Ngoại Ngữ,4500000,0.1,4050000.0,VNPay,2023-07-27,5.0,Đạt
HD00978,2023-07-01,2023-07,21,MOS Excel,Tin Học,850000,0.1,765000.0,Tiền mặt,2023-07-27,758,Đạt
HD01318,2023-07-01,2023-07,28,MOS Excel,Tin Học,850000,0,850000,Chuyển khoản,2023-07-18,1000,Đạt
HD00126,2023-07-02,2023-07,19,MOS Word,Tin Học,850000,0,850000,Momo,2023-07-27,911,Đạt
HD00310,2023-07-02,2023-07,15,TOEIC,Ngoại Ngữ,1200000,0,1200000,Chuyển khoản,2023-07-17,635,Đạt
HD00533,2023-07-02,2023-07,19,MOS Word,Tin Học,850000,0,850000,Tiền mặt,2023-07-26,992,Đạt
HD00526,2023-07-03,2023-07,21,VSTEP,Ngoại Ngữ,1800000,0.1,1620000.0,VNPay,2023-07-20,3.5,Không đạt
HD00273,2023-07-05,2023-07,15,IELTS,Ngoại Ngữ,4500000,0,4500000,Tiền mặt,2023-07-22,5.5,Đạt
HD00833,2023-07-05,2023-07,25,IELTS,Ngoại Ngữ,4500000,0.1,4050000.0,VNPay,2023-07-28,6.5,Đạt
HD00345,2023-07-06,2023-07,25,VSTEP,Ngoại Ngữ,1800000,0,1800000,Tiền mặt,2023-08-04,4.8,Đạt
HD00621,2023-07-06,2023-07,17,VSTEP,Ngoại Ngữ,1800000,0.15,1530000.0,Momo,2023-07-20,6.3,Đạt
HD00652,2023-07-06,2023-07,20,TOEIC,Ngoại Ngữ,1200000,0,1200000,Chuyển khoản,2023-07-24,280,Không đạt
HD00867,2023-07-06,2023-07,17,TOEIC,Ngoại Ngữ,1200000,0,1200000,VNPay,2023-08-05,845,Đạt
HD01237,2023-07-06,2023-07,25,IC3,Tin Học,750000,0.1,675000.0,VNPay,2023-07-25,678,Không đạt
HD00227,2023-07-07,2023-07,19,TOEIC,Ngoại Ngữ,1200000,0.2,960000.0,VNPay,2023-07-24,635,Đạt
HD00923,2023-07-07,2023-07,15,VSTEP,Ngoại Ngữ,1800000,0.2,1440000.0,Momo,2023-07-22,5.5,Đạt
HD00067,2023-07-08,2023-07,28,IELTS,Ngoại Ngữ,4500000,0.1,4050000.0,Momo,2023-07-28,5.5,Đạt
HD00286,2023-07-08,2023-07,24,TOEIC,Ngoại Ngữ,1200000,0.1,1080000.0,Momo,2023-07-29,575,Đạt
HD00993,2023-07-08,2023-07,18,MOS Excel,Tin Học,850000,0.15,722500.0,Chuyển khoản,2023-07-22,799,Đạt
HD01250,2023-07-08,2023-07,29,TOEIC,Ngoại Ngữ,1200000,0.2,960000.0,Tiền mặt,2023-08-07,620,Đạt
HD00173,2023-07-09,2023-07,22,VSTEP,Ngoại Ngữ,1800000,0,1800000,Chuyển khoản,2023-08-06,4.0,Đạt
HD00182,2023-07-09,2023-07,22,IELTS,Ngoại Ngữ,4500000,0,4500000,Chuyển khoản,2023-07-24,5.5,Đạt
HD00339,2023-07-09,2023-07,19,TOEIC,Ngoại Ngữ,1200000,0,1200000,VNPay,2023-07-29,675,Đạt
HD01040,2023-07-09,2023-07,20,VSTEP,Ngoại Ngữ,1800000,0,1800000,VNPay,2023-07-31,2.9,Không đạt
HD00857,2023-07-11,2023-07,15,MOS Excel,Tin Học,850000,0,850000,Chuyển khoản,2023-07-31,859,Đạt
HD01224,2023-07-11,2023-07,20,IELTS,Ngoại Ngữ,4500000,0,4500000,Chuyển khoản,2023-07-25,6.5,Đạt
HD01270,2023-07-12,2023-07,20,MOS Excel,Tin Học,850000,0,850000,Chuyển khoản,2023-07-30,693,Không đạt
HD00439,2023-07-13,2023-07,15,TOEIC,Ngoại Ngữ,1200000,0,1200000,VNPay,2023-08-01,720,Đạt
